,name,album,id,valence,tempo,speechiness,acousticness,liveness,key,duration_ms,time_signature,loudness,energy,mode,danceability,instrumentalness,uri,Generation
0,one way (intro),one way,21hEyYl94GoJ6CzC2VzIAd,0.115,96.079,0.364,0.337,0.19,9.0,80507.0,4.0,-3.796,0.995,1,0.693,0.0,spotify:track:21hEyYl94GoJ6CzC2VzIAd,First Generation
1,do you know me?,one way,0JgTAydWjvn4v6JUCFPojN,0.867,95.055,0.185,0.193,0.184,6.0,203547.0,4.0,-2.28,0.689,1,0.787,0.0,spotify:track:0JgTAydWjvn4v6JUCFPojN,First Generation
2,어쩔겁니까?,one way,4BbQnwsJRxdY6JoQXKEjoQ,0.964,98.008,0.174,0.0697,0.104,8.0,229227.0,4.0,-4.927,0.854,1,0.841,5.51e-05,spotify:track:4BbQnwsJRxdY6JoQXKEjoQ,First Generation
3,how many times,one way,3DiAET3masyhbuVkBxUa6s,0.787,141.988,0.0357,0.0685,0.102,1.0,265547.0,4.0,-4.762,0.78,1,0.812,0.0,spotify:track:3DiAET3masyhbuVkBxUa6s,First Generation
4,위험해,one way,2pWOkP8NGFklWAFiwxq9jf,0.665,85.012,0.192,0.00341,0.0478,1.0,219293.0,4.0,-6.343,0.883,1,0.823,0.0,spotify:track:2pWOkP8NGFklWAFiwxq9jf,First Generation
5,summer night (feat. 이영현),one way,2c9kofBYZlOXhHkrVAohq4,0.895,114.957,0.106,0.118,0.352,0.0,198747.0,4.0,-5.104,0.833,1,0.887,0.0,spotify:track:2c9kofBYZlOXhHkrVAohq4,First Generation
6,can't let u go,one way,0iQpED1pXSberXW7KgSSVo,0.434,83.886,0.322,0.37,0.167,7.0,215653.0,4.0,-5.666,0.584,1,0.642,0.0,spotify:track:0iQpED1pXSberXW7KgSSVo,First Generation
7,take it slow (danny solo),one way,2R2kvWiFCuO1bJ8eAn40IE,0.738,126.042,0.0604,0.307,0.0897,7.0,235480.0,4.0,-7.347,0.535,0,0.756,0.0,spotify:track:2R2kvWiFCuO1bJ8eAn40IE,First Generation
8,supa funk (song baek kyoung solo),one way,3CfVTuvjjBe5UixUdboZMu,0.949,184.081,0.171,0.0723,0.0879,7.0,230760.0,4.0,-4.097,0.842,1,0.628,0.0,spotify:track:3CfVTuvjjBe5UixUdboZMu,First Generation
9,get them hands up,one way,535rLszj57s2tZplF4gm9P,0.808,101.036,0.0632,0.0855,0.195,1.0,209440.0,4.0,-4.445,0.692,1,0.954,0.0,spotify:track:535rLszj57s2tZplF4gm9P,First Generation
10,how it go,one way,1l6mEeC3BXWK102B3P5xoo,0.877,109.059,0.0641,0.133,0.0987,5.0,190120.0,4.0,-5.316,0.857,0,0.85,0.0,spotify:track:1l6mEeC3BXWK102B3P5xoo,First Generation
11,outro (hippy to da hoppa),one way,2vJ3KixpVR4dP1or1dQ3gY,0.76,98.035,0.0554,0.111,0.104,2.0,107320.0,4.0,-6.643,0.526,0,0.883,0.000658,spotify:track:2vJ3KixpVR4dP1or1dQ3gY,First Generation
12,freeflow (intro),once n 4 all,6lNq820MLnu8d42hALXhRQ,0.896,97.087,0.248,0.0189,0.0525,8.0,44760.0,4.0,-5.624,0.711,1,0.855,0.0,spotify:track:6lNq820MLnu8d42hALXhRQ,First Generation
13,uh-oh!,once n 4 all,6BEokLAhGFKpN9UmpgyahH,0.76,91.39,0.104,0.115,0.0388,6.0,209200.0,4.0,-4.755,0.852,1,0.868,0.0,spotify:track:6BEokLAhGFKpN9UmpgyahH,First Generation
14,떠나자,once n 4 all,1e81h9SbS4P7oHV8Ofr1Mv,0.587,88.022,0.121,0.212,0.119,9.0,225907.0,4.0,-4.936,0.695,0,0.75,0.0,spotify:track:1e81h9SbS4P7oHV8Ofr1Mv,First Generation
15,hot,once n 4 all,1IkdRtsgZCtWIekX8NrLdN,0.954,97.995,0.0881,0.155,0.0999,7.0,218333.0,4.0,-5.45,0.61,1,0.884,0.0,spotify:track:1IkdRtsgZCtWIekX8NrLdN,First Generation
16,without you,once n 4 all,3bSLU0vJe54wU55zIPbl5F,0.763,134.002,0.04,0.522,0.131,2.0,278733.0,4.0,-5.897,0.644,1,0.786,0.0,spotify:track:3bSLU0vJe54wU55zIPbl5F,First Generation
17,cry,once n 4 all,74ZGq4yavB7rdjIlcup9M8,0.802,88.026,0.203,0.177,0.179,10.0,241693.0,4.0,-3.74,0.592,1,0.796,0.0,spotify:track:74ZGq4yavB7rdjIlcup9M8,First Generation
18,danny's interlude,once n 4 all,0zGdqtPuOk38WUMRTBmAKm,0.788,102.993,0.0501,0.0976,0.102,9.0,46840.0,4.0,-5.03,0.483,0,0.848,0.0,spotify:track:0zGdqtPuOk38WUMRTBmAKm,First Generation
19,everyday and night,once n 4 all,6uOsimRLfVFedpIw0oEnDI,0.722,95.003,0.054,0.0709,0.239,9.0,213960.0,4.0,-3.984,0.714,0,0.782,0.0,spotify:track:6uOsimRLfVFedpIw0oEnDI,First Generation
20,kiss me,once n 4 all,47WQe35NObOZSTdrki5ZMp,0.968,204.008,0.101,0.0651,0.109,6.0,257800.0,4.0,-4.375,0.623,1,0.77,0.0,spotify:track:47WQe35NObOZSTdrki5ZMp,First Generation
21,it's over,once n 4 all,3zRujooKxLV8izMyacxT1M,0.692,120.021,0.0576,0.124,0.325,1.0,195467.0,4.0,-7.275,0.575,0,0.854,0.0,spotify:track:3zRujooKxLV8izMyacxT1M,First Generation
22,teddy's interlude,once n 4 all,7hRXNdJDQyH6VNtFv3ALfB,0.691,98.989,0.209,0.2,0.139,7.0,60707.0,4.0,-6.761,0.611,1,0.82,0.0,spotify:track:7hRXNdJDQyH6VNtFv3ALfB,First Generation
23,ok,once n 4 all,17lueQSpFiWQ9qzeHZeu1z,0.393,99.971,0.135,0.00257,0.0899,1.0,175533.0,4.0,-4.618,0.699,1,0.832,0.0,spotify:track:17lueQSpFiWQ9qzeHZeu1z,First Generation
24,put' em up,once n 4 all,1tlJPpXRNe2wfRR8bROLJ5,0.602,93.979,0.15,0.0625,0.12,5.0,185893.0,4.0,-5.096,0.707,0,0.71,0.0,spotify:track:1tlJPpXRNe2wfRR8bROLJ5,First Generation
25,nasty,third time fo yo‘ mind!!,3l4e1ducbJ55li1eJYe2KA,0.813,93.032,0.0505,0.108,0.0645,8.0,221867.0,4.0,-4.961,0.819,0,0.846,0.0,spotify:track:3l4e1ducbJ55li1eJYe2KA,First Generation
26,hello!?,third time fo yo‘ mind!!,2MGgUk5yk2cNjBg3zEFnZQ,0.863,96.988,0.0678,0.0615,0.265,1.0,203733.0,4.0,-4.906,0.711,1,0.891,0.0,spotify:track:2MGgUk5yk2cNjBg3zEFnZQ,First Generation
27,woo-wah,third time fo yo‘ mind!!,0I6cueevUfzNEcfMGvcakn,0.936,93.029,0.0403,0.0402,0.094,11.0,258160.0,4.0,-6.41,0.671,1,0.852,0.0,spotify:track:0I6cueevUfzNEcfMGvcakn,First Generation
28,make it last,third time fo yo‘ mind!!,7djcSVSxDhPVQXuSbUfH7W,0.365,91.995,0.0315,0.214,0.115,7.0,278467.0,4.0,-6.586,0.503,1,0.67,0.0,spotify:track:7djcSVSxDhPVQXuSbUfH7W,First Generation
29,last night story,third time fo yo‘ mind!!,1bw2THl4Q8RF2uDgdyDiIU,0.652,84.965,0.0698,0.0107,0.217,1.0,232173.0,4.0,-6.038,0.836,0,0.648,0.000152,spotify:track:1bw2THl4Q8RF2uDgdyDiIU,First Generation
30,hiphop kids,third time fo yo‘ mind!!,7zonxRzabKfLxD9XoR8vkO,0.348,90.034,0.0666,0.0863,0.0653,0.0,258200.0,4.0,-6.622,0.407,0,0.9,0.0,spotify:track:7zonxRzabKfLxD9XoR8vkO,First Generation
31,mother,third time fo yo‘ mind!!,3kd82iFKPTtXduYPQuDCX3,0.853,96.013,0.232,0.0339,0.0342,10.0,217960.0,4.0,-4.381,0.727,0,0.936,1.45e-06,spotify:track:3kd82iFKPTtXduYPQuDCX3,First Generation
32,bus,third time fo yo‘ mind!!,7KdYDoHfIFda4DrB97ZhQp,0.73,122.008,0.14,0.0256,0.759,1.0,227107.0,4.0,-4.095,0.597,1,0.948,0.0,spotify:track:7KdYDoHfIFda4DrB97ZhQp,First Generation
33,sucka busta,third time fo yo‘ mind!!,0l2ujMJYJC5YvbDMOuoJ2T,0.157,167.531,0.534,0.358,0.0539,9.0,865253.0,1.0,-7.141,2.03e-05,1,0.5,0.0,spotify:track:0l2ujMJYJC5YvbDMOuoJ2T,First Generation
34,hidden track,third time fo yo‘ mind!!,4AimELbsLnRUiKnat3tIDq,0.157,167.531,0.534,0.358,0.0539,9.0,865253.0,1.0,-7.141,2.03e-05,1,0.5,0.0,spotify:track:4AimELbsLnRUiKnat3tIDq,First Generation
35,1tym,one time for your mind,3LjJ0Hjqot5HDeL172lAcw,0.908,94.141,0.0555,0.128,0.0509,5.0,210627.0,4.0,-4.46,0.775,0,0.84,3.11e-06,spotify:track:3LjJ0Hjqot5HDeL172lAcw,First Generation
36,널 일으켜,one time for your mind,3F1XgLSkP1CiGBjf9nn3fH,0.792,97.835,0.122,0.0332,0.449,7.0,216467.0,4.0,-4.984,0.704,1,0.866,4.43e-06,spotify:track:3F1XgLSkP1CiGBjf9nn3fH,First Generation
37,탈출,one time for your mind,3ELC5PDIeXnocm2yzm1GgM,0.642,105.97,0.0596,0.0344,0.244,8.0,216107.0,4.0,-4.59,0.84,1,0.836,1.51e-06,spotify:track:3ELC5PDIeXnocm2yzm1GgM,First Generation
38,good love,one time for your mind,6mhKCpBfQKujG44BnoCwqq,0.879,98.69,0.0565,0.00209,0.135,1.0,222627.0,4.0,-4.577,0.789,0,0.727,1.59e-05,spotify:track:6mhKCpBfQKujG44BnoCwqq,First Generation
39,falling in love,one time for your mind,3KzphsXoGIzXuqcAalW7Wk,0.258,132.01,0.0255,0.276,0.37,2.0,205933.0,4.0,-6.934,0.439,0,0.704,0.0,spotify:track:3KzphsXoGIzXuqcAalW7Wk,First Generation
40,뭘 위한 세상인가,one time for your mind,3sXb5cudr6bncPTHu226fO,0.558,101.97,0.24,0.00802,0.0833,4.0,204933.0,4.0,-5.104,0.77,0,0.894,0.0,spotify:track:3sXb5cudr6bncPTHu226fO,First Generation
41,my life,one time for your mind,7saeAlzFqYfFKow2BRLC0O,0.546,104.245,0.0476,0.126,0.539,10.0,223467.0,4.0,-2.081,0.874,0,0.748,0.0,spotify:track:7saeAlzFqYfFKow2BRLC0O,First Generation
42,heaven,one time for your mind,42uxQiuE3DhTMe8serlLhz,0.741,119.002,0.0962,0.14,0.109,9.0,199707.0,4.0,-3.905,0.723,1,0.874,0.0,spotify:track:42uxQiuE3DhTMe8serlLhz,First Generation
43,나를 기다려,one time for your mind,3TWHdVpaG6rBnbPmpPYCb3,0.44,122.717,0.0307,0.106,0.235,2.0,218360.0,4.0,-7.103,0.431,1,0.711,0.0,spotify:track:3TWHdVpaG6rBnbPmpPYCb3,First Generation
44,널 버리지마,one time for your mind,6I7XAoU6tINaqcE5ftlIrI,0.642,92.109,0.146,0.0107,0.033,6.0,217560.0,4.0,-5.018,0.908,0,0.805,0.0,spotify:track:6I7XAoU6tINaqcE5ftlIrI,First Generation
45,우연,baby v.o.x special album,1TinopfhqVzeATjuo9aiqu,0.722,126.857,0.0597,0.024,0.323,2.0,238005.0,4.0,-3.902,0.891,1,0.786,3.62e-06,spotify:track:1TinopfhqVzeATjuo9aiqu,First Generation
46,go,baby v.o.x special album,03hUwtRWFSnhwEJwd4Aqip,0.536,105.012,0.132,0.368,0.0954,4.0,255742.0,3.0,-5.407,0.64,0,0.803,2.56e-05,spotify:track:03hUwtRWFSnhwEJwd4Aqip,First Generation
47,intro 1,baby v.o.x special album,0KWIIB2GvwaX2GpUjnHBvB,0.464,106.994,0.087,0.479,0.15,9.0,81845.0,3.0,-8.581,0.733,0,0.521,0.0384,spotify:track:0KWIIB2GvwaX2GpUjnHBvB,First Generation
48,get up,baby v.o.x special album,6YyRl2CrfTSmJat0rv7JWM,0.946,112.059,0.0504,0.0359,0.283,5.0,132731.0,4.0,-4.019,0.888,0,0.808,0.0,spotify:track:6YyRl2CrfTSmJat0rv7JWM,First Generation
49,killer,baby v.o.x special album,0DPbuSa4OcDF0PeocOFiP9,0.932,113.059,0.0377,0.00234,0.338,8.0,99686.0,4.0,-4.235,0.913,0,0.803,0.0412,spotify:track:0DPbuSa4OcDF0PeocOFiP9,First Generation
50,love and extasy 1,baby v.o.x special album,27Xeu8nTtYe3k3EcEUPfnX,0.807,144.746,0.0802,0.00117,0.258,7.0,58073.0,4.0,-5.071,0.939,1,0.597,0.459,spotify:track:27Xeu8nTtYe3k3EcEUPfnX,First Generation
51,intro 2,baby v.o.x special album,0wTw0xL1kCRVZQnFes5q2W,0.203,127.371,0.143,0.636,0.883,9.0,59797.0,4.0,-14.269,0.488,0,0.214,0.276,spotify:track:0wTw0xL1kCRVZQnFes5q2W,First Generation
52,사랑해요,baby v.o.x special album,2xYNRvhM1kw9EhuSkMCb1R,0.946,103.85,0.0314,0.00157,0.315,0.0,101437.0,4.0,-3.342,0.826,1,0.598,4.16e-05,spotify:track:2xYNRvhM1kw9EhuSkMCb1R,First Generation
53,mask,baby v.o.x special album,7GfrdDoGV4b6ojMkd4waEd,0.906,107.061,0.0456,0.02,0.254,6.0,131791.0,4.0,-1.18,0.962,0,0.783,0.000108,spotify:track:7GfrdDoGV4b6ojMkd4waEd,First Generation
54,lucky 7,baby v.o.x special album,4UUP0cBUWsordE9F6LgZrb,0.905,118.945,0.165,0.0423,0.406,1.0,103056.0,4.0,-2.953,0.977,0,0.728,0.0,spotify:track:4UUP0cBUWsordE9F6LgZrb,First Generation
55,summer story,baby v.o.x special album,7njF2ORknKCl21D86aY86H,0.827,121.222,0.138,0.103,0.405,0.0,104624.0,4.0,-1.163,0.963,1,0.616,0.000149,spotify:track:7njF2ORknKCl21D86aY86H,First Generation
56,love and extasy 2,baby v.o.x special album,3V0mOJUKemYOqe5Nqc05fR,0.647,144.869,0.0485,0.000776,0.207,8.0,119357.0,4.0,-4.485,0.946,1,0.52,0.331,spotify:track:3V0mOJUKemYOqe5Nqc05fR,First Generation
57,꽃무늬 비키니,baby v.o.x special album,2sEtQ5FwcY0oOTn0aaYLHY,0.969,150.011,0.0354,0.00788,0.0961,9.0,134168.0,4.0,-1.894,0.932,1,0.704,0.000365,spotify:track:2sEtQ5FwcY0oOTn0aaYLHY,First Generation
58,missing you,baby v.o.x special album,1gaS7dOKABO2xDlTZFN8Xm,0.205,137.92,0.0354,0.0718,0.0793,0.0,236281.0,4.0,-7.829,0.459,1,0.643,1.28e-06,spotify:track:1gaS7dOKABO2xDlTZFN8Xm,First Generation
59,before sunrise,baby v.o.x special album,1jnJaDpJsn14zT5VZ8rCn9,0.493,137.852,0.0371,0.61,0.129,3.0,223925.0,4.0,-6.961,0.634,1,0.639,4.35e-06,spotify:track:1jnJaDpJsn14zT5VZ8rCn9,First Generation
60,하늘과 함께한 사랑,baby v.o.x special album,10nLKPVdc7NeFxPnphKeSY,0.394,133.955,0.0334,0.678,0.12,5.0,243099.0,4.0,-5.616,0.673,1,0.634,0.0,spotify:track:10nLKPVdc7NeFxPnphKeSY,First Generation
61,슬픈별에서,baby v.o.x special album,5XbpCucOsjTWmPeufadxkL,0.206,134.154,0.0335,0.504,0.0973,8.0,268176.0,4.0,-6.845,0.494,1,0.648,0.0,spotify:track:5XbpCucOsjTWmPeufadxkL,First Generation
62,내 사랑이기를,baby v.o.x special album,0HEymLHWlUnLBmPm43FXcv,0.372,131.975,0.028,0.432,0.0789,2.0,256134.0,4.0,-4.487,0.496,1,0.704,0.0,spotify:track:0HEymLHWlUnLBmPm43FXcv,First Generation
63,to angel,baby v.o.x special album,2PIG0T8utWWYuPd0ebrmY1,0.566,72.99,0.114,0.427,0.103,4.0,221757.0,3.0,-7.326,0.629,1,0.59,0.0,spotify:track:2PIG0T8utWWYuPd0ebrmY1,First Generation
64,intro - intro,boyish story,4GhIGvzRD6h3uZOam3DlI5,0.365,80.654,0.0361,0.916,0.0989,10.0,105747.0,4.0,-19.319,0.162,0,0.482,0.0202,spotify:track:4GhIGvzRD6h3uZOam3DlI5,First Generation
65,game over,boyish story,5RKdMv30Krf0DVizK6UZWo,0.833,110.008,0.0462,0.0195,0.294,10.0,210918.0,4.0,-3.635,0.941,0,0.825,0.0,spotify:track:5RKdMv30Krf0DVizK6UZWo,First Generation
66,인형,boyish story,1vbo2OgGSYJkWOeSvedf4Z,0.808,135.957,0.0934,0.0908,0.207,1.0,208486.0,4.0,-4.039,0.894,1,0.859,0.0,spotify:track:1vbo2OgGSYJkWOeSvedf4Z,First Generation
67,내사랑이기를,boyish story,6ZrcYgs5ytNJzctMji7iwx,0.333,131.982,0.0291,0.446,0.1,2.0,251092.0,4.0,-5.404,0.456,1,0.706,0.0,spotify:track:6ZrcYgs5ytNJzctMji7iwx,First Generation
68,cut,boyish story,5pxKr8PaSHfN7TL5cJvPGd,0.9,97.011,0.0722,0.0252,0.0756,7.0,207703.0,4.0,-4.858,0.861,1,0.768,0.0,spotify:track:5pxKr8PaSHfN7TL5cJvPGd,First Generation
69,lucky7,boyish story,1hGkAJFeXMMtoxTvzENQOQ,0.926,118.92,0.0717,0.0594,0.124,1.0,216558.0,4.0,-5.848,0.906,0,0.819,7.16e-06,spotify:track:1hGkAJFeXMMtoxTvzENQOQ,First Generation
70,부디,boyish story,5Bmv2hL83kENDtQD5fspLt,0.413,144.025,0.0423,0.123,0.0601,2.0,297697.0,4.0,-8.786,0.743,0,0.684,0.0,spotify:track:5Bmv2hL83kENDtQD5fspLt,First Generation
71,가까이,boyish story,7pih84wnJJKlPElRU4GCvf,0.964,76.242,0.553,0.0539,0.0311,11.0,214599.0,4.0,-4.957,0.731,0,0.838,9.74e-05,spotify:track:7pih84wnJJKlPElRU4GCvf,First Generation
72,come to me,boyish story,3U17OPeOvvVtgb86UXDez1,0.669,114.016,0.0527,0.0105,0.119,7.0,217290.0,4.0,-6.083,0.797,1,0.798,2.99e-06,spotify:track:3U17OPeOvvVtgb86UXDez1,First Generation
73,to. angel,boyish story,0ZC1uOFuRu6cugYeT9F3cD,0.548,73.031,0.0995,0.449,0.0939,4.0,216402.0,3.0,-7.25,0.638,1,0.591,0.0,spotify:track:0ZC1uOFuRu6cugYeT9F3cD,First Generation
74,puzzle,boyish story,1Mtl5izaE4SIvqY2QdYrcK,0.932,119.989,0.0547,0.0319,0.0494,10.0,221626.0,4.0,-5.19,0.856,0,0.937,0.0,spotify:track:1Mtl5izaE4SIvqY2QdYrcK,First Generation
75,the one,boyish story,3T9XScL3fpXKOULVZZCMgN,0.48,126.94,0.0514,0.302,0.156,0.0,232861.0,4.0,-7.952,0.513,1,0.739,5.65e-06,spotify:track:3T9XScL3fpXKOULVZZCMgN,First Generation
76,"go go, no no, so so",boyish story,4FIL4S2pdHKVGdEmC2DFIl,0.611,104.207,0.0723,0.0127,0.0737,11.0,202191.0,4.0,-6.114,0.875,0,0.652,0.0,spotify:track:4FIL4S2pdHKVGdEmC2DFIl,First Generation
77,마지막 선물,boyish story,4SygZOFQqgL7VVDHa35HxJ,0.571,74.001,0.0455,0.13,0.138,7.0,234086.0,4.0,-5.499,0.847,0,0.61,0.000907,spotify:track:4SygZOFQqgL7VVDHa35HxJ,First Generation
78,outro - outro,boyish story,3YGE8gEEHUNcvZy31C2jrt,0.286,76.382,0.0415,0.987,0.129,8.0,105958.0,4.0,-19.72,0.15,1,0.445,0.869,spotify:track:3YGE8gEEHUNcvZy31C2jrt,First Generation
79,배신,why,2JMNhHxe1WBzzI7x9MpfmG,0.591,172.091,0.0958,0.0299,0.133,2.0,216140.0,4.0,-4.653,0.866,1,0.739,1.43e-05,spotify:track:2JMNhHxe1WBzzI7x9MpfmG,First Generation
80,회상,why,6mn1EdYsn9hVkE7XcXhMLK,0.666,200.122,0.0928,0.26,0.0819,1.0,217133.0,4.0,-7.397,0.789,0,0.684,0.0,spotify:track:6mn1EdYsn9hVkE7XcXhMLK,First Generation
81,허락,why,1N03haNuJZb22LhxsPFusO,0.527,145.971,0.0274,0.274,0.111,9.0,266217.0,4.0,-7.944,0.698,0,0.64,3.35e-05,spotify:track:1N03haNuJZb22LhxsPFusO,First Generation
82,overlap,why,4GuLfpc2U73VRACx8no5FD,0.832,104.049,0.0435,0.0382,0.103,8.0,215043.0,4.0,-5.503,0.76,1,0.838,0.000426,spotify:track:4GuLfpc2U73VRACx8no5FD,First Generation
83,lux,why,44FNO3qZW5EqzeUZkBZ3yP,0.642,174.074,0.0574,0.508,0.082,10.0,248219.0,4.0,-7.362,0.646,1,0.708,0.0,spotify:track:44FNO3qZW5EqzeUZkBZ3yP,First Generation
84,슬픈 별에서,why,7qQYCqVDv3eAYQc9UZEh7X,0.183,134.159,0.0353,0.421,0.0935,8.0,268202.0,4.0,-7.906,0.469,1,0.647,0.0,spotify:track:7qQYCqVDv3eAYQc9UZEh7X,First Generation
85,bad boy,why,670KYmUnzMSn9GUB9ZKtI6,0.887,110.028,0.0374,0.0209,0.175,11.0,166064.0,4.0,-3.776,0.815,0,0.829,0.000105,spotify:track:670KYmUnzMSn9GUB9ZKtI6,First Generation
86,올가미,why,4kc0KSEOQ1GNsuXxNCDkoD,0.952,120.082,0.033,0.132,0.0929,10.0,213136.0,4.0,-4.142,0.837,0,0.821,1.41e-06,spotify:track:4kc0KSEOQ1GNsuXxNCDkoD,First Generation
87,before sunrise...,why,1SvnT52k6b5qBZrPnjhtGG,0.468,137.88,0.0385,0.629,0.128,8.0,224212.0,4.0,-6.785,0.639,1,0.637,3.28e-06,spotify:track:1SvnT52k6b5qBZrPnjhtGG,First Generation
88,patron,why,49U32YKVYARWFf2gLQDK0S,0.399,100.016,0.0887,0.00648,0.341,2.0,237143.0,4.0,-5.236,0.889,1,0.578,2e-05,spotify:track:49U32YKVYARWFf2gLQDK0S,First Generation
89,야야야,baby vox ⅱ,3AQSMJvDOtMOWq1qDfnvCE,0.802,112.03,0.031,0.229,0.231,9.0,230821.0,4.0,-2.598,0.88,1,0.722,0.0,spotify:track:3AQSMJvDOtMOWq1qDfnvCE,First Generation
90,break it up,baby vox ⅱ,5kGBvkmG3EEzFDiNke2DQW,0.636,116.344,0.0527,0.151,0.0691,2.0,223455.0,4.0,-3.281,0.959,1,0.79,0.0,spotify:track:5kGBvkmG3EEzFDiNke2DQW,First Generation
91,패자부활전,baby vox ⅱ,1KTqKrJ6A8pzommzA0TbBk,0.671,127.88,0.0703,0.228,0.303,7.0,237746.0,4.0,-3.012,0.997,1,0.599,8.16e-05,spotify:track:1KTqKrJ6A8pzommzA0TbBk,First Generation
92,change,baby vox ⅱ,0GJm7FlowFCrbbKFmIW8J8,0.725,119.943,0.1,0.0492,0.0541,5.0,214808.0,4.0,-3.919,0.972,0,0.73,1.17e-05,spotify:track:0GJm7FlowFCrbbKFmIW8J8,First Generation
93,sugar baby,baby vox ⅱ,1IA0qtjFqyNfhnl6V4PD4A,0.967,155.498,0.064,0.043,0.0765,11.0,219301.0,4.0,-2.692,0.976,1,0.687,0.000713,spotify:track:1IA0qtjFqyNfhnl6V4PD4A,First Generation
94,top of the world,baby vox ⅱ,6r8UaFJQCO8TGdAMW5ekRC,0.581,174.37,0.266,0.17,0.105,0.0,245293.0,4.0,-3.993,0.935,1,0.35,0.00105,spotify:track:6r8UaFJQCO8TGdAMW5ekRC,First Generation
95,interlude,voice of xpression,1kz8hrt44SPNGkmrpi0eCO,0.151,176.12,0.0342,0.507,0.0935,2.0,60107.0,3.0,-14.838,0.231,0,0.281,2.14e-06,spotify:track:1kz8hrt44SPNGkmrpi0eCO,First Generation
96,머리하는 날,voice of xpression,0yvSDYQCq6QEBEqLS2qUGu,0.489,121.013,0.0663,0.0167,0.0651,0.0,231201.0,4.0,-4.615,0.835,1,0.838,0.0,spotify:track:0yvSDYQCq6QEBEqLS2qUGu,First Generation
97,남자에게,voice of xpression,4C70bSulcLV0fQVAwS61vv,0.66,140.02,0.0827,0.0435,0.208,11.0,205947.0,4.0,-4.063,0.949,1,0.717,0.0298,spotify:track:4C70bSulcLV0fQVAwS61vv,First Generation
98,스타트,voice of xpression,779DtCvgiKQqPhfA0oZxYD,0.636,96.038,0.0345,0.0891,0.215,11.0,200361.0,4.0,-9.094,0.49,0,0.692,0.00107,spotify:track:779DtCvgiKQqPhfA0oZxYD,First Generation
99,그들만의 세상,voice of xpression,08Vyh9ipoJStSjk1CQp5VQ,0.143,140.119,0.0305,0.0253,0.236,4.0,270307.0,4.0,-7.402,0.542,0,0.486,0.0,spotify:track:08Vyh9ipoJStSjk1CQp5VQ,First Generation
100,비밀,voice of xpression,3hudDxN2jnE5GGOmtQnb4Q,0.88,152.098,0.0451,0.0112,0.0401,11.0,229214.0,4.0,-6.398,0.859,1,0.692,1.14e-06,spotify:track:3hudDxN2jnE5GGOmtQnb4Q,First Generation
101,미혼모,voice of xpression,2kAzze00hRmqDHcsrJXuzY,0.319,114.024,0.0276,0.0409,0.052,9.0,245907.0,4.0,-9.2,0.319,0,0.668,0.000225,spotify:track:2kAzze00hRmqDHcsrJXuzY,First Generation
102,waiting,voice of xpression,4ShYyu3I9TqmMVUWXvejuj,0.528,96.005,0.0295,0.104,0.32,11.0,200254.0,4.0,-8.906,0.535,0,0.703,0.0297,spotify:track:4ShYyu3I9TqmMVUWXvejuj,First Generation
103,better,better - the 10th album,2k44rKotfi2k55hwwiCImN,0.705,92.008,0.229,0.178,0.214,5.0,199640.0,4.0,-4.22,0.801,1,0.587,0.0,spotify:track:2k44rKotfi2k55hwwiCImN,First Generation
104,temptations,better - the 10th album,79sVDkuI7J3DJzz5iEHfO4,0.707,144.732,0.118,0.165,0.204,5.0,195627.0,4.0,-3.55,0.855,0,0.511,9.33e-06,spotify:track:79sVDkuI7J3DJzz5iEHfO4,First Generation
105,cloud,better - the 10th album,3hNCQ2sxLgEvI4PjE4quxO,0.571,76.923,0.0701,0.27,0.102,1.0,226160.0,4.0,-4.301,0.589,1,0.617,0.0,spotify:track:3hNCQ2sxLgEvI4PjE4quxO,First Generation
106,all that jazz,better - the 10th album,630EmrW0DgVqPdKIWMk4YR,0.627,98.039,0.0551,0.205,0.262,5.0,238093.0,4.0,-4.339,0.743,0,0.644,0.0,spotify:track:630EmrW0DgVqPdKIWMk4YR,First Generation
107,l.o.v.e,better - the 10th album,6kLnIzM41Mr5isZ3jHDbbU,0.773,114.983,0.115,0.0538,0.0785,3.0,196200.0,4.0,-3.414,0.886,0,0.693,0.0,spotify:track:6kLnIzM41Mr5isZ3jHDbbU,First Generation
108,cut me off,better - the 10th album,1XBAYSK0QGvsln5PM91NjM,0.526,129.92,0.14,0.534,0.106,7.0,185733.0,4.0,-6.304,0.668,0,0.732,2.17e-05,spotify:track:1XBAYSK0QGvsln5PM91NjM,First Generation
109,got me good,better - the 10th album,20PzzDqmjsaCCYN9Rh2lc8,0.353,93.989,0.222,0.311,0.106,9.0,184613.0,4.0,-3.694,0.765,0,0.619,0.0,spotify:track:20PzzDqmjsaCCYN9Rh2lc8,First Generation
110,honey & diamonds,better - the 10th album,4egcGWDGRI343eOYbdXhpS,0.803,109.925,0.0419,0.207,0.171,9.0,234040.0,4.0,-3.392,0.766,0,0.813,0.0,spotify:track:4egcGWDGRI343eOYbdXhpS,First Generation
111,start over,better - the 10th album,68DxqyUofZbMfVg0MN3O88,0.449,114.89,0.0523,0.202,0.149,5.0,188827.0,4.0,-2.994,0.786,1,0.719,0.0,spotify:track:68DxqyUofZbMfVg0MN3O88,First Generation
